Page Title,Owner,File Formats,Description,Date Last Updated,License,Update Frequency,Access
Personal income tax rates and credits - Dataset - Ontario Data Catalogue,Finance,CSV,"Personal income tax is collected annually from Ontario residents and those who
earned income in the province.","November 29, 2022",Open Government Licence – Ontario,Yearly,,Ontario
Pesticide Concentrations in Stream Water - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,CSV,This dataset contains measurements of pesticide concentrations in stream water samples collected at selected streams in Ontario.,"April 6, 2022",Open Government Licence – Ontario,Yearly,,Ontario
Petroleum Historical Oil Field - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"Historical Oil Fields are subsurface accumulations or 'pools' of crude oil
designated as such for the purposes of the Oil  Gas and Salt Resources Act.","July 2, 2013",Open Government Licence – Ontario,As required,,Ontario
Petroleum wells - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"The locations of wells that have been drilled for oil production  gas or salt
resources or for underground storage of hydrocarbons.","February 19, 2016",Open Government Licence – Ontario,Other,,Ontario
Pharmacy locations - Dataset - Ontario Data Catalogue,Health,,Geographic information on pharmacies in Ontario.,"April 5, 2020",Open Government Licence – Ontario,Yearly,,Ontario
Picnic parks - Dataset - Ontario Data Catalogue,Transportation,ZIP,"This dataset shows MTO managed/maintained picnic park locations. It was
created as part of the Digital Cartographic Reference Base (DCRB) for the
production of Official Road Map of Ontario (ORM). Picnic parks are shown on
the Official Road map of Ontario as information for the travelling public.","June 29, 2016",Open Government Licence – Ontario,Biannually,,Ontario
Planned roadwork - Dataset - Ontario Data Catalogue,Transportation,KML,"Used within the trip Interactive Map to convey transportation related
information in both official languages. This information includes any roadwork
that is pre-planned and will require more than one day to complete.","November 2, 2012",Open Government Licence – Ontario,Other,,Ontario
Plant atlas for St. Lawrence Islands National Park - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"The digital atlas contains distribution information of dominant forests
plants  species assemblages (vegetation types)  and some habitat and
structural characteristics occurring in eco-district 6e10 and GPE.","April 30, 2015",Open Government Licence – Ontario,As required,,Ontario
Police-reported crime rates by age - Dataset - Ontario Data Catalogue,Children  Community and Social Services,CSV,"The data contains the number of criminal incidents  the clearance status of
those incidents and persons-charged  by MCYS region (Central  East  North 
Toronto  West  Other).","December 21, 2016",Open Government Licence – Ontario,Yearly,,Ontario
Police-reported crime statistics on children and youth - Dataset - Ontario Data Catalogue,Children  Community and Social Services,CSV,The data  by region  contains:,"December 21, 2016",Open Government Licence – Ontario,Yearly,,Ontario
Population projections - ontario_mof_population_projections_2022-2046 - Ontario Data Catalogue,,,,,,,,
Private Career Colleges (PCC) key performance indicators - Dataset - Ontario Data Catalogue,Colleges and Universities,XLSX,"This dataset contains information about the results of KPI reporting in the
private career colleges sector. The KPIs in question include:","July 6, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Provincial (Stream) Water Quality Monitoring Network - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,CSV,"Provides stream water quality monitoring data for a number of parameters 
including total and dissolved nutrients  metals  and chloride.","January 19, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Provincial Groundwater Monitoring Network - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,ZIP,"The Provincial Groundwater Monitoring Network (PGMN) datasets report on
ambient (baseline) groundwater level and chemistry conditions.","March 31, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Provincial Satellite Derived Disturbance Mapping - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"The data layer identifies areas of disturbance to vegetation including burns 
commercial forestry harvesting (cuts)  weather events  infrastructure and
pest/disease. Instructions for downloading this dataset:","July 2, 2013",Open Government Licence – Ontario,As required,,Ontario
"Provincial Watersheds, Historical - Dataset - Ontario Data Catalogue",Natural Resources and Forestry,ZIP,"Note: This data has been replaced by the Ontario Watershed Boundaries (OWB).
We are no longer updating this data. It is best suited for historical research and analysis.","December 17, 2015",Open Government Licence – Ontario,Never,,Ontario
Provincial digital elevation model - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"The Provincial Digital Elevation Model (PDEM) is a general purpose dataset
designed to represent true ground elevation and is based on best-available
data across the province. This dataset has not been conditioned for any
specific application.","January 9, 2020",Open Government Licence – Ontario,Periodically,,Ontario
Provincial land cover - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"The land cover classes consist of vegetation types (such as forest  wetlands
and agricultural crops or pasture) and categories of non-vegetated surface
(such as water bodies  bedrock outcrops or settlements).","April 30, 2015",Open Government Licence – Ontario,As required,,Ontario
Provincially Significant Employment Zones - Dataset - Ontario Data Catalogue,Municipal Affairs and Housing,,As areas of high economic output  provincially significant employment zones are strategically located to provide stable  reliable employment across the Greater Golden Horseshoe region. They provide opportunities to improve coordination between land use planning  economic development  and infrastructure investments to support investment and job creation over the longer-term.,"January 7, 2020",Open Government Licence – Ontario,As required,,Ontario
Public Health Unit (PHU) office locations - Dataset - Ontario Data Catalogue,Health,,"Geographic information for Public Health Unit's (PHU)  official health
agencies established by municipalities to provide an efficient community
health program.","April 5, 2020",Open Government Licence – Ontario,Yearly,,Ontario
Capital grants to colleges and universities - Dataset - Ontario Data Catalogue,Colleges and Universities,XLS,"Data about the grants provided by the Postsecondary Education Division at the
The Ministry of Colleges and Universities.","April 9, 2014",Open Government Licence – Ontario,Yearly,,Ontario
Caribou Range Boundary - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,,"Shows areas where the health and prevalence of caribou can be linked to the
attributes of the land that supports them.","July 2, 2013",Open Government Licence – Ontario,As required,,Ontario
Carnegie libraries - Dataset - Ontario Data Catalogue,Tourism  Culture and Sport,HTML,"Provides information on Ontario's Carnegie libraries built with Carnegie
Foundation assistance between 1901 and 1917.  Includes buildings still
operating as public libraries  adaptively re-used or demolished.  Information
includes date grant received  amount and architect when known.","September 16, 2016",King's Printer for Ontario,Other,,Ontario
Carpool lots - Dataset - Ontario Data Catalogue,Transportation,KML,"Used within the Travellers Road Information Portal Interactive Map to convey
transportation related information in both official languages. This
information includes a list of locations of carpool parking lots near dozens
of highway interchanges throughout Ontario.","October 9, 2012",Open Government Licence – Ontario,As required,,Ontario
Catalogue of natural resource scientific and technical publications - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,Search a list of the scientific and technical publications issued since 2004. Email us to request a publication.,,King's Printer for Ontario,Ontario,,Ontario
Census farm data collection - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,A statistical summary of census farm related data. This data is based on the Census of Agriculture  and includes:,"June 1, 2022",Open Government Licence – Ontario,Other,,
"Census of Agriculture, Ontario Summary - Dataset - Ontario Data Catalogue",Agriculture  Food and Rural Affairs,XLSX,A statistical summary of agriculture related data based on the Census of Agriculture including:,"May 31, 2022",Open Government Licence – Ontario,Other,,Ontario
Certified examiners - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,ZIP,This dataset contains the geographic location of Ontario’s certified examiners. They are trained and certified to provide non-emergency  on-farm slaughter services as determined by Ontario's Meat Regulation (O. Reg. 31/05 under the Food Safety and Quality Act  2001).,"October 10, 2012",Open Government Licence – Ontario,As required,,Ontario
Cervid ecological zones - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,Broad management guidance is applied across each Cervid Ecological Zone (CEZ) to help set local population and habitat objectives.,"September 29, 2022",Open Government Licence – Ontario,As required,,Ontario
Charges for driving while using a mobile device - Dataset - Ontario Data Catalogue,Attorney General,CSV,"A list of charges under section 78.1 of the Highway Traffic Act  which
prohibits drivers from using mobile devices while driving.","April 30, 2015",Open Government Licence – Ontario,Other,,Ontario
Child Victim Witness Centres statistical reporting - Dataset - Ontario Data Catalogue,Attorney General,CSV,The Child Witness Program offers a number of services  including:,"April 30, 2015",Open Government Licence – Ontario,Yearly,,Ontario
Child and Adolescent Functional Assessment Scale (CAFAS) clients admitted to treatment - Dataset - Ontario Data Catalogue,Children  Community and Social Services,CSV,"The CAFAS is a clinician-administered  multidimensional scale that assesses
the level of functioning impairment in children and adolescents.","April 1, 2016",Open Government Licence – Ontario,Historical,,Ontario
Child and youth mental health service regions - Dataset - Ontario Data Catalogue,Health,ZIP,"Child and youth mental health services provide a range of planned 
multidisciplinary interventions for youth and their families.","April 30, 2015",Open Government Licence – Ontario,As required,,Ontario
Child and youth mental health services - Dataset - Ontario Data Catalogue,Health,XLSX,"Publicly funded child and youth mental health services across the province
including:","December 15, 2020",Open Government Licence – Ontario,Yearly,,Ontario
Children and youth mental health: organizational and clinical data - Dataset - Ontario Data Catalogue,Children  Community and Social Services,CSV,"The organizational data contains non-personally identifying information on
clients referred to  served by  admitted to  and discharged from CPRI.","April 1, 2016",Open Government Licence – Ontario,Yearly,,Ontario
Children’s Treatment Centre (CTC) locations - Dataset - Ontario Data Catalogue,Health,,"Geographical information about the head offices for community-based
organizations in the province which serve children with physical disabilities
and special needs. The centres offer physiotherapy  occupational therapy  and
speech therapy along with unique local community needs.","April 5, 2020",Open Government Licence – Ontario,Yearly,,Ontario
Children’s Treatment Centre boundaries - Dataset - Ontario Data Catalogue,Children  Community and Social Services,ZIP,"There are 21 ministry-funded Children's Treatment Centres across Ontario.
These centres provide rehabilitation services to children and youth with
moderate or severe disabilities and other special needs. This mapping data
represents the service area boundaries of the 21 centres.","April 30, 2015",Open Government Licence – Ontario,As required,,Ontario
Chronic wasting disease surveillance in members of the deer family - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"Chronic wasting disease is a fatal  untreatable disease of the central nervous
system affecting members of the wild cervid family (for example  white-tailed
deer  American elk  moose and woodland caribou).","March 26, 2019",Ontario.ca Terms of Use,Yearly,,Ontario
Climate data – High Resolution Projections - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,ZIP,Ontario-focused high resolution climate information and its application.,"March 21, 2016",Open Government Licence – Ontario,Historical,,Ontario
"College and University Strategic Mandate Agreements: historical data, targets and results - Dataset - Ontario Data Catalogue",Colleges and Universities,CSV,Strategic Mandate Agreements (SMAs) are a key component of our accountability framework for the postsecondary education system.,"May 28, 2021",Ontario.ca Terms of Use,Yearly,,Ontario
College enrolment - Dataset - Ontario Data Catalogue,Colleges and Universities,XLSX,"Data from the Ministry of Advanced Education and Skills Development College
Enrolment Statistical Reporting system.","April 19, 2023",Open Government Licence – Ontario,Yearly,,Ontario
College enrolments - 1996 to 2011 - Dataset - Ontario Data Catalogue,Colleges and Universities,XLSX,"Data from the Ministry of Training  Colleges and Universities' College NoName
Program Enrolment Reporting system.","November 4, 2015",Open Government Licence – Ontario,Yearly,,Ontario
College program standards - Dataset - Ontario Data Catalogue,Colleges and Universities,CSV,All Ontario colleges of applied arts and technology must follow the standard for their programs – if one exists.,"September 21, 2023",King's Printer for Ontario,As required,,Ontario
Commercial Vehicle Survey - Traffic volumes at survey stations - Dataset - Ontario Data Catalogue,Transportation,,"This data provides modelled average hourly traffic count information by
weekday/weekend. Commercial vehicles and autos data is collected at Commercial
Vehicle Survey locations (latitude/longitude) on provincial highways at border
crossings. This data is used to model hourly estimates of passenger and
commercial traffic volumes across ontario.",,Open Government Licence – Ontario,Other,,Ontario
Commercial Vehicle Survey Data (Commercial vehicle flows assigned to road network) - Dataset - Ontario Data Catalogue,Transportation,,"This data provides core information on truck travel and commodity flows on the
provincial highway network and other significant truck corridors. It includes
the basic commercial vehicle information data set.",,Open Government Licence – Ontario,Other,,Ontario
Commercial Vehicle Survey Data - Equivalent single axle load - Dataset - Ontario Data Catalogue,Transportation,,"This data provides core information on truck travel and commodity flows on the
provincial highway network and other significant truck corridors. It provide
ESAL information for all provincial highways and other significant truck
corridors by road segment.",,Open Government Licence – Ontario,Other,,Ontario
Commercial vehicle flows by road network - Dataset - Ontario Data Catalogue,Transportation,ZIP,"Data collected between 2005 to 2007  3% of sample collected in 2005  51% in
2006 and 46% in 2007.","April 30, 2015",Open Government Licence – Ontario,Other,,Ontario
Commercial vehicle origin and destination data - Dataset - Ontario Data Catalogue,Transportation,,"This data provides core information on truck travel and commodity flows on the
provincial highway network and other significant truck corridors. It provides
average daily trip activity  commodity weight  and value. The origin and
destination data is gathered by counties in Ontario and states outside of
Ontario. Data is summarized by 32 commodity groups.",,Open Government Licence – Ontario,Other,,Ontario
Communication aid vendors - Dataset - Ontario Data Catalogue,Health,CSV,Find a business that sells communication aids.,"October 5, 2023",Open Government Licence – Ontario,Ontario,,Ontario
Community Care Access Centre (CCACs) locations - Dataset - Ontario Data Catalogue,Health,SHP,"Geographical information for the head offices of Community Care Access Centres
(CCACs). The CCACs are the local organizations established by the Ministry of
Health and Long-Term Care to give people access to government-funded home and
community services and long-term care homes. They also provide information
about and connect people to local community support service agencies to
arrange services.","January 17, 2017",Open Government Licence – Ontario,Historical,,Ontario
Community Health Centre (CHC) locations - Dataset - Ontario Data Catalogue,Health,,"Geographical information for primary health and health promotion programs for
people  families  and communities.","April 5, 2020",Open Government Licence – Ontario,Other,,Ontario
Community Policing Partnership (CPP) Program - Dataset - Ontario Data Catalogue,Solicitor General,CSV,The Community Policing Partnerships (CPP) Program has ended on March 31  2022 and will no longer be available beginning in 2022-23 fiscal year.,"July 3, 2021",Open Government Licence – Ontario,Never,,Ontario
Community Support Service (CSS) locations - Dataset - Ontario Data Catalogue,Health,,"Geographical information about community support services in the home or
community. Community Support services help people to maintain their safety and
independence while living at home.","April 5, 2020",Open Government Licence – Ontario,Yearly,,Ontario
Community small business investment funds - Dataset - Ontario Data Catalogue,Finance,CSV,"Details about the registrants in the community small business investment funds
program. The data contains:","April 7, 2014",Open Government Licence – Ontario,Yearly,,Ontario
"Comparative Birth, Death, Marriage data - Dataset - Ontario Data Catalogue",Public and Business Service Delivery,CSV,This dataset compares birth  death and marriage registrations completed by the Office of the Registrar General  beginning in 1925  to the most current published annual report (2020).,"December 9, 2022",Open Government Licence – Ontario,Quarterly,,Ontario
Condemnations for drug residues in provincially inspected plants - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get data on the number of condemnations from animals slaughtered in provincially inspected plants for drug residues.  Data includes the number of adverse carcasses by drug class.,"August 4, 2023",Open Government Licence – Ontario,Weekly,,
Condemnations for pathological conditions in provincially inspected plants - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get data on the number of condemnations from animals slaughtered in provincially inspected plants for pathological conditions.  Condemnations are recorded for the following types of animals:,"September 12, 2023",Open Government Licence – Ontario,Weekly,,
Confirmed positive cases of COVID-19 in Ontario - Dataset - Ontario Data Catalogue,Health,CSV,Due to changes in data availability  the following variables will be removed from this file  effective Thursday April 13  2023: ‘Case_AcquisitionInfo’  ‘Outbreak_Related’. Also due to changes in data availability  the variable ‘Outcome1’ will be equal to ‘Fatal’ (deaths due to COVID-19) or blank (all other cases),"October 12, 2023",Open Government Licence – Ontario,Daily,,Ontario
Conservation Authority Administrative Area - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,,"Conservation Authority Administrative Areas are lands under the jurisdiction
of a Conservation Authority.","February 26, 2021",Open Government Licence – Ontario,Historical,,Ontario
Conservation Reserve Regulated - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,,Displays areas regulated as a conservation reserve in order to:,"April 30, 2015",Open Government Licence – Ontario,As required,,Ontario
Constructed drains - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,WEB,This data keeps the Ontario Ministry of Agriculture  Food and Rural Affairs' records of modified or newly constructed drainage systems current.,"August 17, 2023",Open Government Licence – Ontario,As required,,Ontario
Contractors who specialize in soil erosion control on agricultural land - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,CSV,This dataset contains a list of soil erosion control contractors in Ontario who offer design and construction services to landowners to help control soil erosion on agricultural land. The list is maintained by the Ministry of Agriculture  Food and Rural Affairs (OMAFRA) and includes contact names  business names  addresses and telephone numbers. The list is updated annually in April.,"March 20, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Cordon data - directional traffic counts - Dataset - Ontario Data Catalogue,Transportation,ZIP,"The Cordon Count Data (CCD) includes directional traffic counts at selected
sites to understand how vehicles and people move across the region. Traffic
data includes the number of vehicles as well as the number of passengers
transported by different vehicle types and the transit system. The interval of
CCD collection varies 2-3 years across agencies. CCD provides data for three
time periods: 13 hours  AM peak periods  and PM peak periods. Summary data are
provided for these three time periods for different screen lines  and
directions.","March 15, 2019",Open Government Licence – Ontario,Other,,Ontario
Corn and Soybean Neonicotinoid-treated Seed data - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,CSV,"The data  which includes corn and soybean seeds treated with neonicotinoids (treated seed) and not treated with neonicotinoids (untreated seed) was previously required to be submitted by licensed treated seed vendors  and a summary of this data was reported by the ministry.  Seed sale summary data is for annual seed sales from 2015-2018 (September 01 - August 31).
The data includes:","December 30, 2022",Open Government Licence – Ontario,Historical,,Ontario
Cosmetic pesticide ban - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,CSV,The cosmetic use of pesticides is considered a non-essential use.,"November 5, 2022",Open Government Licence – Ontario,As required,,
Course Enrolment in Grade 9 Math by Course Type - Dataset - Ontario Data Catalogue,Education,TXT,Public and Catholic board-level course enrolment in Grade 9 Math by course type (academic  applied and locally developed) for each academic year. School boards report this data using the Ontario School Information System (OnSIS).,"April 7, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Course enrolment in secondary schools - Dataset - Ontario Data Catalogue,Education,TXT,"Data tracking the number of students enrolled in ministry defined secondary
school courses at the provincial level. These ministry defined courses are for
students in grades 9 to 12.","May 2, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Court-based support for vulnerable victims of crime - Dataset - Ontario Data Catalogue,Attorney General,CSV,"V/WAP provides court-based services for victims and witnesses of crime.
Services include:","April 30, 2015",Open Government Licence – Ontario,Yearly,,Ontario
Crime severity - Dataset - Ontario Data Catalogue,Solicitor General,CSV,"Data from the Police Reported Crime Severity Index. Measures changes in
Canadian crime severity from year to year.","April 30, 2015",Open Government Licence – Ontario,Never,,Canada
Crown Game Preserves - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"Crown Game Preserves were established to prohibit or regulate the hunting and
trapping of wildlife in specific areas to restore local populations.","July 2, 2013",Open Government Licence – Ontario,As required,,Ontario
Crown land use policy area (overlay) - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"The Guide to Crown Land Use Planning Atlas (CLUPA) is the authoritative source
for information on overlays. The dataset maintains a spatial record for all
geographic areas of Ontario affected by the designations that modify area-
specific land use policy. To be used as an overlay to CLUPA Provincial data
class.","April 30, 2015",Open Government Licence – Ontario,Periodically,,Ontario
Crown land use policy area (provincial) - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"The spatial record for all the province's geographic areas affected by
provincial level  area-specific land use policy.","August 25, 2020",Open Government Licence – Ontario,Periodically,,Ontario
Crown land use policy atlas - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,HTML,Get data on land use area policies and boundaries in central and northern Ontario,,Ministry Terms of Use,As required,,Ontario
Crown timber charges for forestry companies - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,XLSX,Crown timber charges are composed of:,"April 26, 2023",Open Government Licence – Ontario,Monthly,,Ontario
Current Authorized Requesters - Dataset - Ontario Data Catalogue,Transportation,CSV,The Ministry of Transportation collects personal driver and vehicle information under the authority of section 205 of the Highway Traffic Act. This information is used to administer the Ontario’s driver  vehicle and carrier programs.,"September 21, 2023",Open Government Licence – Ontario,Yearly,,
Current Ontario field crop production by crop - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,"Statistical data on estimated seeded and harvested acres  yield  production
and farm value by year.","July 4, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Current fruit production and farm value - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on land area harvested  marketed production  average price and farm value of specified commercial fruit crops in Ontario.,"August 4, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Current vegetable production and farm value - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on area harvested  marketed production  average price and farm value of specified commercial vegetable crops in Ontario.,"March 3, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Dairy distributors (non-shopkeepers) - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,HTML,Get a list of provincially licensed non-shopkeeper distributors transporting fluid milk products in Ontario.,"April 10, 2019",Open Government Licence – Ontario,Yearly,,Ontario
Death registrations in Ontario (by location) - Dataset - Ontario Data Catalogue,Public and Business Service Delivery,CSV,This dataset provides total number of death registrations by the location in which the death occurred.,"December 9, 2022",Open Government Licence – Ontario,Quarterly,,Ontario
Death registrations in Ontario (by residence) - Dataset - Ontario Data Catalogue,Public and Business Service Delivery,CSV,This dataset provides total number of death registrations by the primary residence of the deceased (municipality).,"December 9, 2022",Open Government Licence – Ontario,Quarterly,,Ontario
Deaths Involving COVID-19 by Fatality Type - Dataset - Ontario Data Catalogue,Health,CSV,As of June 16  all COVID-19 datasets will be updated weekly on Thursdays by 2pm.,"October 12, 2023",Open Government Licence – Ontario,Daily,,Ontario
Deaths Involving COVID-19 by Vaccination Status - Dataset - Ontario Data Catalogue,Health,CSV,As of January 26  2023  data from the date of January 1  2023 onwards reflect updated population estimates. This update specifically impacts data for the 'not fully vaccinated' category.,"October 12, 2023",Open Government Licence – Ontario,Daily,,Ontario
Designated Gas Storage Area - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"Designated gas storage areas are land areas designated by the Ontario Energy
Board that contain geological formations used for subsurface storage of
natural gas.","July 2, 2013",Open Government Licence – Ontario,Other,,Ontario
Developmental disability support: client profiles - Dataset - Ontario Data Catalogue,Children  Community and Social Services,CSV,This dataset includes snapshot information for 33 615 individuals  including:,"June 28, 2016",Open Government Licence – Ontario,Other,,Ontario
Diabetes Education Program - Dataset - Ontario Data Catalogue,Health,CSV,Find a Diabetes Education Program (DEP) for adults or children.,"May 18, 2022",Open Government Licence – Ontario,Ontario,,Ontario
Dine Ontario restaurants and businesses - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,CSV,Find restaurants and businesses supporting local producers  processors and makers by sourcing ingredients grown  made and crafted in Ontario.,"October 6, 2023",Open Government Licence – Ontario,As required,,
Drainage superintendents - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,WEB,This dataset contains a list of drainage superintendents who are appointed by the local municipality to manage drains constructed under the Drainage Act  1990. Drainage superintendents are businesses or individuals that represent the local municipality to assist landowners to resolve their drainage concerns using the Ontario Drainage Act  1990.,"August 17, 2023",Open Government Licence – Ontario,As required,,Ontario
Drinking Water Neonicotinoid Monitoring Study - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,XLSX,"The Ministry of the Environment  Conservation and Parks started a project to
determine the potential levels and occurrence of neonicotinoid insecticides in
Ontario source waters and treated drinking waters  in support of Ontario's
Pollinator Health Action Plan.","November 30, 2020",Open Government Licence – Ontario,As required,,Ontario
Drinking Water Quality and Enforcement - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,ZIP,"Ontario has a comprehensive set of measures and regulations to help ensure the
safety of drinking water.","December 19, 2022",Open Government Licence – Ontario,Yearly,,Ontario
Drinking Water Surveillance Program - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,ZIP,"The Drinking Water Surveillance Program (DWSP) monitors water quality at
selected municipal drinking water systems for scientific and research
purposes. DWSP is a voluntary partnership that compliments the regulatory
monitoring that must be done by the drinking water systems. DWSP monitors for
inorganic  organic and radiological parameters.","April 5, 2022",Open Government Licence – Ontario,Yearly,,Ontario
Duration of unemployment - Dataset - Ontario Data Catalogue,Labour  Immigration  Training and Skills Development,CSV,"The age groups available in the data set are: 15+  15-64  15-19  20-24  25-44 
45-54  55-64 and 65+.","December 7, 2020",Open Government Licence – Ontario,Quarterly,,Ontario
Duration of unemployment by immigrant status - Dataset - Ontario Data Catalogue,Labour  Immigration  Training and Skills Development,CSV,"The age groups available in the data set are:
15+ 15-24 25-54 25+ 25-64 25-34 55+ and 55-64.","December 7, 2020",Open Government Licence – Ontario,Yearly,,Ontario
Early Development Instrument (EDI) - Dataset - Ontario Data Catalogue,Education,CSV,"The EDI is designed for use with whole populations based on geographical or
administrative boundaries. It is a questionnaire completed by kindergarten
teachers for each student in senior kindergarten.","June 29, 2015",Open Government Licence – Ontario,As required,,Ontario
Ecodistricts - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,This dataset is used to:,"January 1, 2007",Open Government Licence – Ontario,Other,,Ontario
Ecological land classification - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"The Ministry of Natural Resources and Forestry defines ecological units on the
basis of bedrock  climate (temperature  precipitation)  physiography(soils 
slope  aspect) and corresponding vegetation.","April 29, 2015",Open Government Licence – Ontario,As required,,Ontario
Ecoregions - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"This dataset is used is used to determine the significance or status of
wetland classes and certain other natural heritage features.","January 1, 2007",Open Government Licence – Ontario,Other,,Ontario
Ecozones - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"This dataset is used for national and coarse-scale provincial reporting such
as analyses of climate  demographics and watersheds.","January 1, 2007",Open Government Licence – Ontario,Other,,Ontario
Electric Vehicles in Ontario – By Forward Sortation Area - Dataset - Ontario Data Catalogue,Transportation,CSV,"This dataset details the total number of electric vehicles (EVs) in Ontario. This includes both battery-electric vehicles (BEVs) and plug-in hybrid electric vehicles (PHEVs). 
Data includes:","September 30, 2023",Open Government Licence – Ontario,Quarterly,,Ontario
Elementary class size - Dataset - Ontario Data Catalogue,Education,XLSX,"Elementary class organizations for each school in Ontario  based on a count date in September of each school year. For each elementary
class  the data include:","June 30, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Emergency Management historical events - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"Most of these events involved community evacuations  significant structural
loss and/or involvement of a Ministry of Natural Resources (MNR) Emergency
Response Officer.","July 2, 2013",Open Government Licence – Ontario,Yearly,,Ontario
Emergency management analysis - Dataset - Ontario Data Catalogue,Attorney General,CSV,"Includes regional and ministry-wide assessments of emergencies at the Ministry
of the Attorney General. Emergencies include commercial power failure  severe
weather  civil protest and others.","April 30, 2015",Open Government Licence – Ontario,Yearly,,Ontario
Employment by class of worker - Dataset - Ontario Data Catalogue,Labour  Immigration  Training and Skills Development,ZIP,"Class of worker includes employees (public sector employees and private sector
employees) and self-employed  including: self-employed incorporated with paid
help; self-employed incorporated with no paid help; self-employed
unincorporated with paid help; self-employed unincorporated with  no paid
help; and unpaid family worker.","November 17, 2016",Open Government Licence – Ontario,Yearly,,Ontario
Employment in the public sector - Dataset - Ontario Data Catalogue,Labour  Immigration  Training and Skills Development,CSV,"Information on employment by class of worker for Ontario and Employment
Ontario regions.","December 14, 2020",Open Government Licence – Ontario,Monthly,,Ontario
Energy and water usage of large buildings in Ontario - Dataset - Ontario Data Catalogue,Energy,XLSX,Get data on the intensity of energy and water usage and greenhouse gas (GHG) emissions as well as property use types for buildings larger than 100 000 square feet. Where possible  data is weather-normalized. Data is not cleansed.,"September 28, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Energy use and greenhouse gas emissions for the Broader Public Sector - Dataset - Ontario Data Catalogue,Energy,XLSX,"The Broader Public Sector (BPS) plays an important role in helping Ontario
meet its conservation targets and reduce greenhouse gas emissions. Under O.
Reg. 507/18 (Broader Public Sector: Energy Reporting and Conservation and Demand Management Plans)  made under the Electricity Act  1998  BPS organizations are required to:","February 13, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Enrolment by grade in elementary schools - Dataset - Ontario Data Catalogue,Education,TXT,"Student enrolment in elementary schools across the province  aggregated by
grade and school board or school authority.","February 24, 2023",Open Government Licence – Ontario,Yearly,,Ontario
